Type,AreaR,Eccentricity,Extent,AxisRat,Solidity
3,1.0606,0.73014,0.65587,1.4635,0.94285
3,1.0593,0.71942,0.66337,1.4397,0.94401
3,1.0523,0.70406,0.6555,1.4082,0.95028
3,1.0688,0.69684,0.64842,1.3943,0.93559
3,1.0562,0.76118,0.63599,1.5419,0.94675
3,1.0552,0.71437,0.68523,1.4291,0.94765
3,1.0699,0.74227,0.63809,1.4923,0.93464
3,1.0514,0.71105,0.65117,1.4222,0.95112
3,1.0733,0.76769,0.61789,1.5605,0.9317
3,1.0936,0.81577,0.62679,1.729,0.9144
3,1.0987,0.80342,0.59689,1.6795,0.91018
3,1.0658,0.79927,0.62255,1.664,0.93826
3,1.0738,0.65432,0.6219,1.3224,0.93127
3,1.0862,0.82107,0.62257,1.7518,0.92061
3,1.1665,0.75222,0.50611,1.5176,0.85729
3,1.0938,0.75448,0.61897,1.5236,0.91424
3,1.0741,0.77408,0.63734,1.5796,0.93101
3,1.0652,0.72624,0.63619,1.4547,0.93883
3,1.0669,0.75268,0.62351,1.5189,0.93732
3,1.0634,0.77382,0.61817,1.5788,0.94035
3,1.0655,0.67558,0.64427,1.3563,0.9385
3,1.0488,0.78389,0.65732,1.6106,0.95349
3,1.0705,0.76672,0.62721,1.5577,0.93417
3,1.0767,0.73057,0.63974,1.4645,0.92876
3,1.0615,0.72049,0.67457,1.442,0.94208
3,1.0714,0.72935,0.64832,1.4617,0.93335
3,1.041,0.61727,0.69294,1.2711,0.96061
3,1.0818,0.75845,0.61448,1.5344,0.92441
3,1.0681,0.78803,0.60558,1.6243,0.9362
3,1.122,0.62818,0.59766,1.2852,0.89126
3,1.062,0.73427,0.64811,1.4731,0.94161
3,1.0454,0.70597,0.64975,1.4119,0.95659
3,1.0496,0.75536,0.67113,1.526,0.95273
3,1.0827,0.68264,0.59226,1.3685,0.92359
3,1.0787,0.76494,0.62826,1.5526,0.927
3,1.048,0.63077,0.68223,1.2887,0.95417
3,1.079,0.82598,0.63359,1.774,0.92675
3,1.0762,0.77146,0.62845,1.5716,0.92918
3,1.0791,0.75896,0.63688,1.5358,0.92666
3,1.0855,0.77957,0.61205,1.5966,0.92126
3,1.0717,0.74102,0.63907,1.4892,0.93308
3,1.0514,0.64766,0.6702,1.3125,0.95113
3,1.0671,0.735,0.66221,1.4748,0.93716
3,1.0576,0.7557,0.64489,1.5269,0.94553
3,1.0668,0.79237,0.61993,1.6392,0.9374
3,1.0472,0.68308,0.70271,1.3692,0.95497
3,1.0696,0.76367,0.62971,1.5489,0.93491
3,1.0522,0.71856,0.68828,1.4379,0.95038
3,1.0506,0.70615,0.636,1.4123,0.95183
3,1.1792,0.72393,0.54062,1.4496,0.84807
3,1.0466,0.71092,0.6775,1.4219,0.95546
3,1.0809,0.77717,0.62989,1.5891,0.92518
3,1.0865,0.75663,0.61151,1.5294,0.92036
3,1.0819,0.72333,0.64366,1.4482,0.92426
